,,,,,,,,,,,,,,,,,,,,,,
MCZ CATALOG No.,ORDER,FAMILY,GENUS,SPECIES,DNA NUMBER,ID  DATE,# OF SPECIMENS,COUNTRY,STATE,MUNICIPALITY,LOCALITY,VEGETATION AND MICROHABITAT,COL. DATE,LATITUDE,,,LONGITUDE,,ELEVATION,COLLECTOR,PROJECT CATALOG/NOTES,PHOTOS
129756,,Aff. Dalodesmidae,??,??,,30/v/2013,1_,BRAZIL,Roraima,Caracarai,"Locality 993: trail leading East of Caicubi, Rio Jufari, ArquipŽlago de Muriu’ e Baixo Rio Branco, Medio Rio Negro",??,29-v-2012,-1.02868,,,-62.08985,,21,"L. R. Benavides, J. Ballesteros, G. Giribet, G. Hormiga, R. Indicatti, W. Porto, C. Rheims",leaf litter sifting plus winkler,
126264,,Aphelidesmidae,??,??,100434,,1_,TRINIDAD Y TOBAGO,Trinidad,Arena Forest,,??,01-vii-1999,10.58167,10.581666,,-61.238888,"-61¡14'20""",,L. Prendini,,
133045,,Aphelidesmidae,??,??,,26/iv/2013,1_,BRAZIL,Roraima,Caracarai,"transect between localities 986 and 984: trail leading East of Caicubi, Rio Jufari, Municipalidade Caracarai, ArquipŽlago de Mariu’ e Baixo Rio Branco, Medio Rio Negro",??,25-v-2012,"-1.02944, -1.02897",,,"-62.09597, -62.08722",,??,J. Ballesteros,"night, direct collecting",
133045,,Aphelidesmidae,,,,,,BRAZIL,,Municipalidade Caracara’,"trail leading East of Caicub’, Rio Jufar’, ArquipŽlago de Mariu’ e Baixo Rio Branco, MŽdio Rio Negro, Roraima",,,-1.02944,,,-62.09597,,,,,
133046,,Aphelidesmidae,??,??,,26/iv/2013,1_,BRAZIL,Roraima,Caracarai,"Totocuara, comunidade Caicubi, Rio Jufari. ArquipŽlago de Mariui e Baixo Rio Branco, Medio Rio Negro",??,30-v-2012,-0.99185,,,-62.15915,,??,"J. Ballesteros, G. Giribet",,
133051,,Aphelidesmidae,??,??,,26/iv/2013,1_,BRAZIL,Roraima,Caracarai,"Locality 985: trail leading East of Caicub’, Rio Jufar’, ArquipŽlago de Mariu’ e Baixo Rio Branco, MŽdio Rio Negro",??,25-v-2012,-1.02896,,,-62.09178,,??,G. Giribet,"night, direct collecting",DSC_7825-7827
128494,2,Chelodesmidae,,,,,_,MEXICO,Yucat‡n,Cuncunul,Road from Valladolid to Chichen-Itza.,Selva mediana,25-ix-2011,20.63137,,,-88.36604,,54,J. Bueno-Villegas,JBVMEX-558,
132753,4,Chelodesmidae,,,,,_,MEXICO,Chiapas,Cacahuat‡n municipality,Loc. El çguila,Cloud mountain forest,24-VI-2009,"15¡05«31""",15.09194444,"92¡11«00""",-92.18333333,,1200,E. ChamŽ,,
132763,15,Chelodesmidae,,,,,_,MEXICO,Chiapas,Uni—n Ju‡rez municipality,Loc. Tacan‡ volcano,Forest with coffee tree plantation. On logs,,,,,,,,,JBVMEX-399b,
125799,POLYDESMIDA,Chelodesmidae,Aff. Eutyporhachis,sp,,09/iv/2012,2__,MEXICO,Chiapas,MarquŽs de Comillas,Lago Metzabok,lowland wet forest ex sifted leaf litter,5.vi.2008,17.12659,,91.63035,-91.63035,,570,,Wa-A-06-1-all LLAMA CATALOG,
125801,POLYDESMIDA,Chelodesmidae,Aff. Eutyporhachis,sp,,10/iv/2012,1_,MEXICO,Chiapas,Coapilla,3.5 km NW Jct. Rds. Tapalapa/Ocotepec,"Oak/hardwood forest litter, ex sifted leaf litter",27.v.2008,17.17071,,93.13677,-93.13677,,1970,R. S.A.,2008-035 LLAMA CATALOG,
125803,POLYDESMIDA,Chelodesmidae,??,??,,10/iv/2012,1_,MEXICO,Chiapas,Coapilla,4.5 km NW Jct. Rds. Tapalapa/Ocotepec,Shrubby cloud forest litter,27.v.2008,17.18263,,93.11807,-93.11807,,2180,,2008-036 LLAMA CATALOG,
125821,POLYDESMIDA,Chelodesmidae,Aff Eutyporhachis,sp,,11/iv/2012,several female fragmented,GUATEMALA,San Marcos,,Road Bojonal-Fraternidad,Cloud forest,11.ix.2008,14.94533,,91.88038,-91.88038,,1580,,RSA 2008-107 LLAMA CATALOG,
125829,POLYDESMIDA,Chelodesmidae,Aff Eutyporhachis,sp,,11/iv/2012,4__,GUATEMALA,Suchitepequez,Volc‡n Atitl‡n,9.5 km SE Santiago Atitl‡n,"Cloud forest, ex sifted leaf litter",10.ix.2008,14.55833,14.558333,,-91.19,-91¡11.4« W,2060,M.G. B.,MGB-933 LLAMA CATALOG,
126035,POLYDESMIDA,Chelodesmidae,gen nov,sp nov,,12/iv/2012,2__,MEXICO,Chiapas,,Sierra Morena,"Secondary mesophil forest, ex sifted leaf litter",12.v.2008,16.15342,,93.60078,-93.60078,,1330,,Wa-A-01-2-all LLAMA CATALOG,
126049,POLYDESMIDA,Chelodesmidae,New genus,new species,,15/iv/2012,1_,MEXICO,Chiapas,,Sierra Morena,"Secondary mesophil forest, ex sifted leaf litter",12.v.2008,16.16001,,93.60519,-93.60519,,1360,,Wa-A-01-1-all LLAMA CATALOG,
126056,POLYDESMIDA,Chelodesmidae,Aff Eutyporhachis,sp,,16/iv/2012,1_ juvenile,MEXICO,Chiapas,Salto de Agua,Salto de Agua,"Secondary wet forest, ex sifted leaf litter",16.vi.2007,17.51427,,92.29486,-92.29486,,70,M.G. B.,MGB-871 LLAMA CATALOG,
126066,POLYDESMIDA,Chelodesmidae,??,??,,17/iv/2012,1_ juvenile,MEXICO,Chiapas,Salto de Agua,8 km SE Salto de Agua,"Secondary wet forest, ex sifted leaf litter",14.vi.2008,17.51592,,92.30231,-92.30231,,100,,Wa-A-08-2-all LLAMA CATALOG,
126078,POLYDESMIDA,Chelodesmidae,Aff Eutyporhachis,sp,,17/iv/2012,"1_, 2__",MEXICO,Chiapas,San Cristobal de la Casas,Reserva Huitepec,"Under pines, cloud forest edge. Winkler ex sifted leaf letter",11.vii-2007,16.74476667,,92.6885333,-92.6885333,,2600,Longino,Coll. Code: JTL 6037-s; Specimen code: JTL-135427 LLAMA,
126079,POLYDESMIDA,Chelodesmidae,??,??,,17/iv/2012,"1_ juvenile, 2__",MEXICO,Chiapas,San Cristobal de la Casas,Reserva Huitepec,"Under pines, cloud forest edge. Winkler ex sifted leaf letter",11.vii-2007,16.74476667,,92.6885333,-92.6885333,,2600,Longino,Coll. Code: JTL 6037-s; Specimen code: JTL-135427 LLAMA,
126259,,Chelodesmidae,,,,,_,GABON,Makokou,,"Locality 791: Reserve du Plateau d'Ipassa, OgooguŽ-Ivindo",,24-vi-2009,0.50745,0.50745,,12.79673333,12¡47.804,585,"L. Benavides, G. Giribet, J.F. Mavougou, J. Murienne",,
126261,,Chelodesmidae,,,,,_,CAMEROON,,,Giribet Locality 779,,vi-2009,4.844294032,,,9.683991009,,,,,
129741,,Chelodesmidae,??,??,,26/iv/2013,1_,BRAZIL,Roraima,Caracarai,"Locality 985: trail leading East of Caicub’, Rio Jufar’, ArquipŽlago de Mariu’ e Baixo Rio Branco, MŽdio Rio Negro",??,25-v-2012,-1.02896,,,-62.09178,,??,G. Giribet,"night, direct collecting",
133048,,Chelodesmidae,??,??,,26/iv/2013,1_,BRAZIL,??,"CHIU, ÀIgaorapi?",Caicabi trail,??,29-v-2012,,,,,,,G. Giribet,,
80033,POLYDESMIDA,Chelodesmidae/Rhachodesmidae,??,??,,09/iv/2012,1_,MEXICO,Chiapas,Angel Albino Corzo,"Reserva de la Bi—sfera El Triunfo, Campamento El Quetzal",Broadleft oak forest litter,21.v.2008,15.70997,,92.92914,-92.92914,,2180,R. S.A.,2008-026 LLAMA CATALOG,
125785,POLYDESMIDA,Cryptodesmidae,Aff. Peridontodesmus,sp,,09/iv/2012,3__,MEXICO,Chiapas,Angel Albino Corzo,"Reserva de la Bi—sfera El Triunfo, Campamento El Quetzal",Oak-pine forest leaf litter,17.v.2008,15.72141,,92.93936,-92.93936,,1860,R. S.A.,2008-013 LLAMA CATALOG,
125804,POLYDESMIDA,Cryptodesmidae,Aff Peridontodesmus,??,,10/iv/2012,1_,MEXICO,Chiapas,Coapilla,4.5 km NW Jct. Rds. Tapalapa/Ocotepec,Shrubby cloud forest litter,27.v.2008,17.18263,,93.11807,-93.11807,,2180,,2008-036 LLAMA CATALOG,
